Date_Only,Sector,Avg_Close_Price,Total_Volume
2024-05-15,Technology,219.82866024971008,712776000
2024-05-16,Basic Materials,180.57714176177979,40371018
2024-05-16,Communication Services,127.43855163029262,138829475
2024-05-16,Consumer Cyclical,178.98426628112793,132997700
2024-05-16,Consumer Defensive,190.12047364976672,101061600
2024-05-16,Energy,109.59517784118653,53340500
2024-05-16,Financial Services,223.2093162536621,142403200
2024-05-16,Healthcare,309.423254108429,122848200
2024-05-16,Industrials,223.4855743408203,67799275
2024-05-16,Technology,218.9708240032196,637755700
2024-05-17,Basic Materials,181.55900764465332,44936831
2024-05-17,Communication Services,127.62838772365025,135684738
2024-05-17,Consumer Cyclical,179.8747901916504,150707400
2024-05-17,Consumer Defensive,189.78456030951605,67684900
2024-05-17,Energy,111.80336265563965,52296700
2024-05-17,Financial Services,224.85902576446534,118520400
2024-05-17,Healthcare,310.71637096405027,101310500
2024-05-17,Industrials,223.87005443572997,58000899
2024-05-17,Technology,219.46360874176025,602369600
2024-05-20,Basic Materials,181.83618812561036,38106081
2024-05-20,Communication Services,127.56292452131,130850638
2024-05-20,Consumer Cyclical,177.48198413848877,128751500
2024-05-20,Consumer Defensive,188.40108150906033,51588200
2024-05-20,Energy,110.65477676391602,46289000
2024-05-20,Financial Services,222.27873268127442,125113800
2024-05-20,Healthcare,310.68315210342405,87272400
2024-05-20,Industrials,223.78974609375,49110306
2024-05-20,Technology,222.10321056842804,544333300
2024-05-21,Basic Materials,182.1846160888672,38250443
2024-05-21,Communication Services,127.15565626961845,129141824
2024-05-21,Consumer Cyclical,178.06568908691406,202532000
2024-05-21,Consumer Defensive,189.82851706610785,56918500
2024-05-21,Energy,110.17475738525391,45712200
2024-05-21,Financial Services,223.17985134124757,128866200
2024-05-21,Healthcare,311.89773015975953,107061900
2024-05-21,Industrials,222.4632474899292,53441711
2024-05-21,Technology,222.11563742160797,549530600
2024-05-22,Basic Materials,180.9149112701416,52589697
2024-05-22,Communication Services,127.26281683785575,118877298
2024-05-22,Consumer Cyclical,176.86498165130615,169704000
2024-05-22,Consumer Defensive,188.52194849650064,61325700
2024-05-22,Energy,108.676997756958,63977000
2024-05-22,Financial Services,221.9975143432617,124363200
2024-05-22,Healthcare,311.3831968307495,121008600
2024-05-22,Industrials,222.80408363342286,60015911
2024-05-22,Technology,222.58677732944489,771182400
2024-05-23,Basic Materials,179.614817237854,63042549
2024-05-23,Communication Services,126.10237993512835,130157781
2024-05-23,Consumer Cyclical,173.44384002685547,148940300
2024-05-23,Consumer Defensive,186.59734725952148,56040000
2024-05-23,Energy,108.10663833618165,59107600
2024-05-23,Financial Services,218.79966259002686,133598800
2024-05-23,Healthcare,309.5573280334473,125157200
2024-05-23,Industrials,219.82143993377684,75946000
2024-05-23,Technology,220.6057721376419,1157789600
2024-05-24,Basic Materials,180.82185401916504,40038084
2024-05-24,Communication Services,128.41137531825476,111963172
2024-05-24,Consumer Cyclical,173.9790439605713,125116300
2024-05-24,Consumer Defensive,188.0319964090983,41250400
2024-05-24,Energy,108.2211082458496,43563400
2024-05-24,Financial Services,219.74124336242676,88186600
2024-05-24,Healthcare,308.2197746276855,98968900
2024-05-24,Industrials,220.0692367553711,52700897
2024-05-24,Technology,217.86002683639526,657817800
2024-05-28,Basic Materials,178.94127311706544,44763903
2024-05-28,Communication Services,128.90148081098283,123257692
2024-05-28,Consumer Cyclical,173.51974201202393,125626800
2024-05-28,Consumer Defensive,187.7010235256619,55296100
2024-05-28,Energy,109.22458915710449,55920600
2024-05-28,Financial Services,217.2206350326538,114153100
2024-05-28,Healthcare,305.03258113861085,119029700
2024-05-28,Industrials,217.67463264465331,57636855
2024-05-28,Technology,218.4271675348282,923559500
2024-05-29,Basic Materials,176.79986610412598,36941970
2024-05-29,Communication Services,127.77467877524239,148551245
2024-05-29,Consumer Cyclical,172.35674667358398,118559700
2024-05-29,Consumer Defensive,186.02267371283637,49336300
2024-05-29,Energy,106.10027732849122,74356900
2024-05-29,Financial Services,215.28821620941162,103569500
2024-05-29,Healthcare,301.90646209716795,116194600
2024-05-29,Industrials,214.32769966125488,56297418
2024-05-29,Technology,216.89394164085388,814990100
2024-05-30,Basic Materials,178.1725383758545,34429966
2024-05-30,Communication Services,126.55359622410366,137214798
2024-05-30,Consumer Cyclical,174.15497493743896,143783800
2024-05-30,Consumer Defensive,187.19571431477866,47579300
2024-05-30,Energy,105.77396583557129,64876100
2024-05-30,Financial Services,216.02039699554444,134219600
2024-05-30,Healthcare,302.7480990409851,120986600
2024-05-30,Industrials,216.3022777557373,57287081
2024-05-30,Technology,206.39588069915771,821614600
2024-05-31,Basic Materials,180.3499240875244,66401372
2024-05-31,Communication Services,127.12968853541783,245392333
2024-05-31,Consumer Cyclical,176.25049495697021,194722500
2024-05-31,Consumer Defensive,188.61693615383572,94953400
2024-05-31,Energy,108.57020835876465,128876900
2024-05-31,Financial Services,218.74449672698975,201674400
2024-05-31,Healthcare,308.446129989624,242681600
2024-05-31,Industrials,219.16716136932374,138022374
2024-05-31,Technology,208.1376279592514,1133257700
2024-06-03,Basic Materials,179.70415954589845,41426964
2024-06-03,Communication Services,128.36135700770788,144602944
2024-06-03,Consumer Cyclical,175.66804885864258,139163200
2024-06-03,Consumer Defensive,188.9424900478787,49212600
2024-06-03,Energy,105.80624732971191,77729400
2024-06-03,Financial Services,217.9371862411499,114992100
2024-06-03,Healthcare,311.4141112327576,123164500
2024-06-03,Industrials,216.71351203918456,67628854
2024-06-03,Technology,207.47101283073425,715702000
2024-06-04,Basic Materials,178.95098838806152,53020860
2024-06-04,Communication Services,128.54167992728097,133006520
2024-06-04,Consumer Cyclical,176.14683151245117,123712000
2024-06-04,Consumer Defensive,190.87933603922525,55294200
2024-06-04,Energy,105.16625633239747,77638600
2024-06-04,Financial Services,217.82567958831788,111084700
2024-06-04,Healthcare,312.64579010009766,119901100
2024-06-04,Industrials,216.14028854370116,66053009
2024-06-04,Technology,208.36285293102264,666908500
2024-06-05,Basic Materials,180.25051879882812,34907048
2024-06-05,Communication Services,131.26176507132394,128929779
2024-06-05,Consumer Cyclical,176.6737575531006,122472900
2024-06-05,Consumer Defensive,191.16281170315213,54013600
2024-06-05,Energy,104.9068531036377,60279200
2024-06-05,Financial Services,218.54218139648438,120421900
2024-06-05,Healthcare,314.7968908309937,92790400
2024-06-05,Industrials,217.1973648071289,52186591
2024-06-05,Technology,212.84110689163208,830087700
2024-06-06,Basic Materials,179.88832778930663,35596776
2024-06-06,Communication Services,131.18473407200403,123157132
2024-06-06,Consumer Cyclical,177.67352104187012,137853600
2024-06-06,Consumer Defensive,192.21692064073352,50569500
2024-06-06,Energy,105.69078178405762,57534000
2024-06-06,Financial Services,218.00893020629883,119898100
2024-06-06,Healthcare,315.3538808822632,108713000
2024-06-06,Industrials,216.60313262939454,49954719
2024-06-06,Technology,212.93407011032104,886209200
2024-06-07,Basic Materials,178.75257453918456,46678384
2024-06-07,Communication Services,130.6076499394008,118017403
2024-06-07,Consumer Cyclical,176.4362497329712,119036000
2024-06-07,Consumer Defensive,191.83011457655164,49810100
2024-06-07,Energy,105.30913505554199,61144700
2024-06-07,Financial Services,218.0911584854126,103880200
2024-06-07,Healthcare,315.10566034317014,103140900
2024-06-07,Industrials,216.4466667175293,53184755
2024-06-07,Technology,213.60302782058716,635486300
2024-06-10,Basic Materials,178.77410354614258,34054085
2024-06-10,Communication Services,132.17412185668945,124898979
2024-06-10,Consumer Cyclical,176.8091926574707,112865300
2024-06-10,Consumer Defensive,191.8022401597765,64109100
2024-06-10,Energy,105.80539779663086,63053600
2024-06-10,Financial Services,217.38375148773193,121027900
2024-06-10,Healthcare,316.29512453079224,118063900
2024-06-10,Industrials,216.81545944213866,52456240
2024-06-10,Technology,213.4117261171341,619865400
2024-06-11,Basic Materials,178.8143409729004,32923114
2024-06-11,Communication Services,132.8325538635254,121646960
2024-06-11,Consumer Cyclical,176.65636157989502,120253600
2024-06-11,Consumer Defensive,191.4522616068522,49071200
2024-06-11,Energy,105.71011466979981,47785400
2024-06-11,Financial Services,214.7217586517334,151592700
2024-06-11,Healthcare,315.8748725891113,107400400
2024-06-11,Industrials,215.07458972930908,51197387
2024-06-11,Technology,214.63206946849823,582942900
2024-06-12,Basic Materials,179.74050178527833,32234913
2024-06-12,Communication Services,133.0278628213065,140720381
2024-06-12,Consumer Cyclical,178.96343326568604,158978100
2024-06-12,Consumer Defensive,190.27223544650607,48941600
2024-06-12,Energy,103.82899932861328,66060800
2024-06-12,Financial Services,215.67642307281494,145926900
